Dataset,LM_model,LM_output_type,Feature,Classifier,Precision,Recall,F1_score
EBG obfuscated,GPT-2 345M,probs,Bins 0.010,ANN,0.9714285714285714,0.7234042553191491,0.8292682926829269
EBG obfuscated,GPT-2 345M,probs,Bins 0.005,SVM,1.0,0.44680851063829785,0.6176470588235294
EBG obfuscated,GPT-2 345M,probs,Bins 0.001,SVM,1.0,0.3829787234042553,0.5538461538461539
EBG obfuscated,GPT-2 345M,probs,VGG19,SVM,0.9444444444444444,0.7234042553191491,0.8192771084337349
EBG obfuscated,GPT-2 345M,probs,Bins 0.010,SVM,1.0,0.5531914893617021,0.7123287671232876
EBG obfuscated,GPT-2 345M,probs,Bins 0.005,RFC,1.0,0.5744680851063829,0.7297297297297298
EBG obfuscated,GPT-2 345M,probs,Bins 0.001,RFC,0.875,0.14893617021276595,0.2545454545454545
EBG obfuscated,GPT-2 345M,probs,VGG19,RFC,1.0,0.7446808510638298,0.8536585365853657
EBG obfuscated,GPT-2 345M,probs,Bins 0.010,RFC,1.0,0.5531914893617021,0.7123287671232876
EBG obfuscated,GPT-2 345M,ranks,Bins 50,GNB,0.15897435897435894,0.6595744680851063,0.25619834710743805
EBG obfuscated,GPT-2 345M,ranks,Bins 10,GNB,0.14457831325301204,0.5106382978723404,0.2253521126760563
EBG obfuscated,GPT-2 345M,ranks,VGG19,GNB,0.9230769230769232,0.7659574468085106,0.8372093023255814
EBG obfuscated,GPT-2 345M,ranks,Bins 100,GNB,0.15789473684210525,0.7021276595744681,0.2578125
EBG obfuscated,GPT-2 345M,ranks,Bins 50,KNN,1.0,0.6382978723404256,0.7792207792207793
EBG obfuscated,GPT-2 345M,ranks,Bins 10,KNN,1.0,0.6808510638297872,0.810126582278481
EBG obfuscated,GPT-2 345M,ranks,VGG19,KNN,0.9705882352941176,0.7021276595744681,0.8148148148148149
EBG obfuscated,GPT-2 345M,ranks,Bins 100,KNN,1.0,0.5957446808510638,0.7466666666666666
EBG obfuscated,GPT-2 345M,ranks,Bins 50,ANN,1.0,0.6595744680851063,0.7948717948717948
EBG obfuscated,GPT-2 345M,ranks,Bins 10,ANN,1.0,0.7021276595744681,0.825
EBG obfuscated,GPT-2 345M,ranks,VGG19,ANN,0.8292682926829268,0.7234042553191491,0.7727272727272727
EBG obfuscated,GPT-2 345M,ranks,Bins 100,ANN,0.9032258064516128,0.5957446808510638,0.7179487179487178
EBG obfuscated,GPT-2 345M,ranks,Bins 50,SVM,1.0,0.40425531914893614,0.5757575757575757
EBG obfuscated,GPT-2 345M,ranks,Bins 10,SVM,1.0,0.5531914893617021,0.7123287671232876
EBG obfuscated,GPT-2 345M,ranks,VGG19,SVM,0.9705882352941176,0.7021276595744681,0.8148148148148149
EBG obfuscated,GPT-2 345M,ranks,Bins 100,SVM,1.0,0.3404255319148936,0.5079365079365079
EBG obfuscated,GPT-2 345M,ranks,Bins 50,RFC,1.0,0.44680851063829785,0.6176470588235294
EBG obfuscated,GPT-2 345M,ranks,Bins 10,RFC,1.0,0.0851063829787234,0.1568627450980392
EBG obfuscated,GPT-2 345M,ranks,VGG19,RFC,1.0,0.7021276595744681,0.825
EBG obfuscated,GPT-2 345M,ranks,Bins 100,RFC,1.0,0.3829787234042553,0.5538461538461539
